 [ 2.10270290e+01  4.42763472e+00]
 [ 2.13272038e+01  4.83557463e+00]
 [ 2.16256256e+01  4.95775557e+00]
 [ 2.19221516e+01  4.76670647e+00]
 [ 2.22181511e+01  4.44518900e+00]
 [ 2.25122833e+01  4.39267778e+00]
 [ 2.27699738e+01  4.26608276e+00]
 [ 2.30293465e+01  4.57243252e+00]
 [ 2.32887516e+01  4.92801332e+00]
 [ 2.35466194e+01  5.01892185e+00]
 [ 2.38023739e+01  4.70957899e+00]
 [ 2.40578804e+01  4.36125755e+00]
 [ 2.43138371e+01  4.17404842e+00]
 [ 2.45721779e+01  4.44554090e+00]
 [ 2.48316841e+01  4.79402351e+00]
 [ 2.50899315e+01  4.83807945e+00]
 [ 2.53475285e+01  4.75555563e+00]
 [ 2.56071281e+01  5.04850483e+00]
 [ 2.58665295e+01  5.40990305e+00]
 [ 2.61270313e+01  6.05553246e+00]
 [ 2.63859921e+01  6.43992758e+00]
 [ 2.66448154e+01  6.72565699e+00]
 [ 2.69026451e+01  6.88139391e+00]
 [ 2.71604118e+01  7.00899458e+00]
 [ 2.74152927e+01  6.68057728e+00]
 [ 2.76706371e+01  6.34756708e+00]
 [ 2.79251022e+01  5.84524870e+00]
 [ 2.81764278e+01  4.87798452e+00]
 [ 2.84295788e+01  4.08312607e+00]
 [ 2.86827507e+01  3.47107935e+00]
 [ 2.89357548e+01  2.62037897e+00]
 [ 2.91880875e+01  1.88311470e+00]
 [ 2.94589996e+01  3.46991658e+00]
 [ 2.97131386e+01  3.06132913e+00]
 [ 2.99668388e+01  2.59200549e+00]
 [ 3.02207680e+01  2.19198537e+00]
 [ 3.04730110e+01  1.45285380e+00]
 [ 3.07221756e+01  1.07445251e-02]
 [ 3.09692059e+01 -1.95341516e+00]
 [ 3.12182789e+01 -3.60876632e+00]
 [ 3.14731159e+01 -4.21194506e+00]
 [ 3.17320442e+01 -4.09679556e+00]
 [ 3.19923954e+01 -3.69548512e+00]
 [ 3.22506371e+01 -3.62766457e+00]
 [ 3.25079765e+01 -3.67109942e+00]
 [ 3.27636375e+01 -4.04682875e+00]
 [ 3.30190353e+01 -4.46006632e+00]
 [ 3.32743645e+01 -4.88592243e+00]
 [ 3.35309830e+01 -5.13515091e+00]
 [ 3.37903214e+01 -4.87953711e+00]
 [ 3.40512390e+01 -4.39937258e+00]
 [ 3.43103638e+01 -4.23275185e+00]
 [ 3.45661240e+01 -4.68824959e+00]
 [ 3.48234940e+01 -4.79772234e+00]
 [ 3.50818787e+01 -4.71405649e+00]
 [ 3.53397903e+01 -4.63352776e+00]
 [ 3.55980911e+01 -4.53642988e+00]
 [ 3.58579636e+01 -4.19575834e+00]
 [ 3.61165504e+01 -4.11084557e+00]
 [ 3.63745689e+01 -4.15887785e+00]
 [ 3.66324692e+01 -4.22928858e+00]
 [ 3.68910789e+01 -4.19429064e+00]
 [ 3.71485329e+01 -4.33048916e+00]
 [ 3.74041634e+01 -4.73848963e+00]
 [ 3.76598053e+01 -5.09587955e+00]][[ 2.0712624  -0.51396006]
 [ 1.5707601  -0.8369543 ]
 [ 1.3922925  -0.8095841 ]
 [ 1.0722789  -1.1952257 ]
 [-0.01346954 -2.358162  ]
 [-1.6842505  -2.9250028 ]
 [-3.6780071  -2.7992184 ]
 [-5.5063367  -3.080372  ]
 [-5.9998035  -3.2657459 ]
 [-5.8983874  -3.008833  ]
 [-5.330882   -2.5748382 ]
 [-5.128505   -2.6405892 ]
 [-5.223767   -2.8422458 ]
 [-5.5270185  -2.6634028 ]
 [-5.7624087  -2.4060822 ]
 [-6.147364   -2.0769176 ]
 [-6.472257   -1.8764598 ]
 [-6.3931923  -1.780642  ]
 [-6.381407   -1.415298  ]
 [-6.474456   -0.8818592 ]
 [-6.6678195  -0.4217726 ]
 [-6.4932957   0.06282667]
 [-6.2988167   0.6804366 ]
 [-6.2718287   1.2635334 ]
 [-5.985358    1.2090955 ]
 [-5.5540366   1.3777193 ]
 [-5.343626    1.8475963 ]
 [-5.1324964   2.5729105 ]
 [-5.0556846   3.0681632 ]
 [-4.8085036   3.4154634 ]
 [-4.636591    3.617929  ]
 [-4.7979474   3.7221615 ]
 [-4.977243    3.9009717 ]
 [-5.113262    4.07503   ]
 [-5.1309085   4.380398  ]
 [-5.1608257   4.3428545 ]
 [-5.125825    4.0646305 ]
 [-5.096799    3.757005  ]
 [-4.861894    3.4002216 ]
 [-4.60497     3.243269  ]
 [-4.1351476   2.367727  ]
 [-3.343496    1.5112435 ]
 [-2.7163925   1.6194509 ]
 [-2.2377017   1.2912273 ]
 [-1.7808967   0.8834426 ]
 [-1.0243326   0.4700563 ]
 [-0.57477283 -0.6110832 ]
 [-0.3724675  -1.609448  ]
 [ 0.03502973 -2.386201  ]
 [ 0.49893767 -2.8573413 ]
 [ 1.3816642  -2.9839    ]
 [ 2.1026618  -3.134753  ]
 [ 2.5874138  -3.4076161 ]
 [ 2.5131001  -2.9274275 ]
 [ 2.6361892  -2.280153  ]
 [ 3.091654   -2.2885215 ]
 [ 3.469492   -2.3176827 ]
 [ 3.9267201  -2.2341623 ]
 [ 4.2690463  -2.1865268 ]
 [ 4.739448   -2.1075246 ]
 [ 5.273185   -1.9282218 ]
 [ 5.6154065  -1.8098384 ]
 [ 6.0309453  -1.5357332 ]
 [ 6.293342   -1.0183308 ]
 [ 6.731005   -0.79480284]
 [ 7.3116264  -0.66568965]
 [ 7.820192   -0.06312576]
 [ 7.955612    0.51009846]
 [ 7.9552298   1.0292395 ]
 [ 7.9139643   1.0379752 ]
 [ 8.203165    0.7720601 ]
 [ 8.585739    0.85603195]
 [ 8.611521    1.169852  ]
 [ 8.506725    1.3836746 ]
 [ 8.813627    1.7015058 ]
 [ 8.9805975   1.7903576 ]
 [ 9.406942    1.4665112 ]
 [ 9.590012    1.4434925 ]
 [ 9.58116     1.6634349 ]
 [ 9.404698    1.5756475 ]
 [ 9.34464     1.5606729 ]
 [ 8.85866     1.37653   ]
 [ 8.426402    1.0357486 ]
 [ 7.9319763   1.3192062 ]
 [ 6.7616844   0.986889  ]
 [ 5.59364     0.97829187]
 [ 4.6243296   0.776474  ]
 [ 3.7301283   1.2176208 ]
 [ 2.8898566   0.93643534]
 [ 2.0712657  -0.5139619 ]
 [ 1.5707232  -0.8369532 ]
